Choose please,First name,Last name,Email,Gender ,Gender,Choose please.1,Choose please.2,Choose please.3,Choose please.4,Paragraph,Choose please.5,Choose please.6,Choose please.7
"[1,2],[1,1],[3,2,1],[2,1]",Jaimin,Bariya,ab@gmail.com,Male,male,O,2,"1,2,3",1,ram ,"1,2,3,3",2020-02-19,12:20:00
"[1,2],[1,1],[3,2,1],[2,1]",Raja,Rani,ab@gmail.com,Female,female,B,1,4,2,hanuman hanuman,"1,2,3,4",2020-02-19,13:20:00
"[1,2],[1,1],[3,2,1],[2,1]",A,Z,ab@gmail.com,Male,male,h,3,3,3,hanuman \n ram,"2,3,4,5",2020-02-19,14:20:00
"[1,2],[1,1],[3,2,1],[2,1]",B,Y,ab@gmail.com,Female,female,j,4,"2,3",3,ram\n ram  ram ram,"5,5,5,5",2020-02-19,15:20:00
"[1,2],[1,1],[3,2,1],[2,1]",C,X,ab@gmail.com,Male,male,u,3,"4,1",2,hanuman hanuman,"4,4,4,4",2020-02-19,16:20:00
"[1,2],[1,1],[3,2,1],[2,1]",D,W,ab@gmail.com,Female,female,option 6,2,"1,2,3",1,hanuman \n ram,"3,2,2,3",2020-02-19,17:20:00
"[1,2],[1,1],[3,2,1],[2,1]",E,V,ab@gmail.com,Male,male,O,1,4,1,ram\n ram  ram ram,"1,2,3,3",2020-02-19,18:20:00
"[1,2],[1,1],[3,2,1],[2,1]",F,U,ab@gmail.com,Female,female,B,4,3,2,hanuman hanuman,"1,2,3,4",2020-02-19,19:20:00
"[1,2],[1,1],[3,2,1],[2,1]",G,V,ab@gmail.com,Male,male,h,3,"2,3",3,hanuman \n ram,"2,3,4,5",2020-02-19,20:20:00
"[1,2],[1,1],[3,2,1],[2,1]",H,L,ab@gmail.com,Female,female,j,2,"4,1",2,ram\n ram  ram ram,"5,5,5,5",2020-02-19,21:20:00
"[1,2],[1,1],[3,2,1],[2,1]",Jaimin,Bariya,ab@gmail.com,Male,male,u,2,"2,3",2,hanuman hanuman,"4,4,4,4",2020-02-19,22:20:00
"[1,2],[1,1],[3,2,1],[2,1]",Raja,Rani,ab@gmail.com,Female,female,option 6,3,"4,1",1,hanuman \n ram,"3,2,2,3",2020-02-19,23:20:00
